cleaned_city_1,cleaned_city_2,original_city_1,original_city_2
Bournemouth,"Norwich, Norfolk",Bournemouth,"Norwich, Norfolk"
Bournemouth,Nottingham,Bournemouth,Nottingham
Bournemouth,Sibiu,Bournemouth,Sibiu
Bournemouth,Saint Anne,Bournemouth,Saint Anne
Bournemouth,Maastricht,Bournemouth,Maastricht
Bournemouth,Vilnius,Bournemouth,Vilnius
Bournemouth,Debrecen,Bournemouth,Debrecen
Bournemouth,Lesquin,Bournemouth,Lesquin
Bournemouth,Perugia,Bournemouth,Perugia
Bournemouth,Lisbon,Bournemouth,Lisbon
Bournemouth,Gothenburg,Bournemouth,Gothenburg
Bournemouth,Ponta Delgada,Bournemouth,Ponta Delgada
Bournemouth,Ancona,Bournemouth,Ancona
Bournemouth,Ålesund,Bournemouth,Ålesund
Bournemouth,Manchester,Bournemouth,Manchester
Bournemouth,Vágar,Bournemouth,Vágar
Bournemouth,Funchal,Bournemouth,Funchal
Bournemouth,Krasnoyarsk,Bournemouth,Krasnoyarsk
Bournemouth,Syktyvkar,Bournemouth,Syktyvkar
Bournemouth,Pescara,Bournemouth,Pescara
Bournemouth,Bragança,Bournemouth,Bragança
Bournemouth,Wrocław,Bournemouth,Wrocław
Murmansk,Frankfurt am Main,Murmansk,Frankfurt am Main
Murmansk,Umeå,Murmansk,Umeå
Murmansk,Łódź,Murmansk,Łódź
Murmansk,Genova ,Murmansk,Genova (GE)
Murmansk,Almería,Murmansk,Almería
Murmansk,Crete Island,Murmansk,Crete Island
Murmansk,Ivalo,Murmansk,Ivalo
Murmansk,Ivanovo,Murmansk,Ivanovo
Murmansk,Vigo,Murmansk,Vigo
Murmansk,Minsk,Murmansk,Minsk
Murmansk,Seville,Murmansk,Sevilla
Murmansk,Girona,Murmansk,Girona
Murmansk,Magnitogorsk,Murmansk,Magnitogorsk
Murmansk,Zgornji Brnik,Murmansk,Zgornji Brnik
Murmansk,Cherepovets,Murmansk,Cherepovets
Murmansk,Pisa,Murmansk,Pisa
Murmansk,Valletta,Murmansk,Valletta
Murmansk,Voronezh,Murmansk,Voronezh
Murmansk,Vila Real,Murmansk,Vila Real
Murmansk,Penza,Murmansk,Penza
Murmansk,Makhachkala,Murmansk,Makhachkala
Murmansk,Spata-Artemida,Murmansk,Spata-Artemida
Murmansk,"Luton, Bedfordshire",Murmansk,"Luton, Bedfordshire"
Murmansk,Čilipi,Murmansk,Čilipi
Murmansk,Olbia ,Murmansk,Olbia (SS)
Murmansk,Hanover,Murmansk,Hannover
Murmansk,"Norwich, Norfolk",Murmansk,"Norwich, Norfolk"
Murmansk,Nottingham,Murmansk,Nottingham
Murmansk,Sibiu,Murmansk,Sibiu
Murmansk,Saint Anne,Murmansk,Saint Anne
Murmansk,Maastricht,Murmansk,Maastricht
Murmansk,Vilnius,Murmansk,Vilnius
Murmansk,Debrecen,Murmansk,Debrecen
Murmansk,Lesquin,Murmansk,Lesquin
Murmansk,Perugia,Murmansk,Perugia
Murmansk,Lisbon,Murmansk,Lisbon
Murmansk,Gothenburg,Murmansk,Gothenburg
Murmansk,Ponta Delgada,Murmansk,Ponta Delgada
Murmansk,Ancona,Murmansk,Ancona
Murmansk,Ålesund,Murmansk,Ålesund
Murmansk,Manchester,Murmansk,Manchester
Murmansk,Vágar,Murmansk,Vágar
Murmansk,Funchal,Murmansk,Funchal
Murmansk,Krasnoyarsk,Murmansk,Krasnoyarsk
Murmansk,Syktyvkar,Murmansk,Syktyvkar
Murmansk,Pescara,Murmansk,Pescara
Murmansk,Bragança,Murmansk,Bragança
Murmansk,Wrocław,Murmansk,Wrocław
Frankfurt am Main,Umeå,Frankfurt am Main,Umeå
Frankfurt am Main,Łódź,Frankfurt am Main,Łódź
Frankfurt am Main,Genova ,Frankfurt am Main,Genova (GE)
Frankfurt am Main,Almería,Frankfurt am Main,Almería
Frankfurt am Main,Crete Island,Frankfurt am Main,Crete Island
Frankfurt am Main,Ivalo,Frankfurt am Main,Ivalo
Frankfurt am Main,Ivanovo,Frankfurt am Main,Ivanovo
Frankfurt am Main,Vigo,Frankfurt am Main,Vigo
Frankfurt am Main,Minsk,Frankfurt am Main,Minsk
