tra_infr,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 
TOTAL,BG	4 d	4 d	4 d	4 	4 	4 	5 	5 	4 	4 	4 	4 	5 	5 	5 	4 	4 	4 	4 	4 	4 
TOTAL,CH	7 d	7 d	7 d	7 	7 	7 	7 	7 	7 	7 	7 	7 	7 	7 	7 	7 	7 	6 	6 	6 	6 
TOTAL,CY	2 d	2 d	2 d	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 
TOTAL,CZ	5 d	5 d	5 d	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	4 	4 	4 	4 	4 	4 	4 	4 
TOTAL,DE	171 d	167 d	182 d	140 	136 	40 	42 	38 	39 	38 	41 	33 	34 	34 	33 	34 	33 	35 	35 	35 	35 
TOTAL,DK	34 d	34 d	34 d	34 	10 	10 	10 	10 	8 	8 	9 	8 	8 	8 	8 	8 	8 	8 	9 	8 	9 
TOTAL,EE	7 d	7 d	7 d	7 	7 	7 	7 	7 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
TOTAL,EL	39 d	39 d	39 d	39 	39 	39 	39 	39 	33 	32 	32 	32 	33 	34 	31 	36 	36 	27 	30 	: 	: 
TOTAL,ES	48 d	48 d	42 d	39 	39 	39 	41 	39 	39 	41 	41 	42 	41 	40 	40 	40 	39 	39 	38 	38 	38 
TOTAL,FI	20 d	20 d	20 d	21 	21 	23 	23 	21 	19 	19 	20 	20 	20 	21 	21 	21 	21 	22 	22 	21 	21 
TOTAL,FR	58 d	61 d	62 d	62 	63 	63 	63 	65 	62 	64 	62 	66 	63 	63 	61 	62 	64 	58 	65 	61 	61 
TOTAL,HR	9 d	9 d	9 d	9 	9 	9 	9 	9 	6 	6 	7 	7 	6 	6 	6 	7 	8 	: 	: 	: 	: 
TOTAL,HU	5 d	5 d	5 d	5 	5 	5 	5 	5 	3 	3 	3 	3 	3 	3 	3 	3 	3 	1 	1 	1 	1 
TOTAL,IE	6 d	8 d	9 d	9 	9 	9 	9 	9 	9 	9 	11 	11 	11 	9 	10 	10 	11 	11 	11 	11 	11 
TOTAL,IS	13 d	13 d	13 d	13 	13 	1 	1 	1 	6 	6 	6 	6 	7 	7 	7 	7 	7 	7 	7 	: 	: 
TOTAL,IT	46 d	46 d	46 d	46 	45 	45 	45 	45 	37 	37 	38 	38 	38 	39 	38 	37 	37 	37 	36 	25 	22 
TOTAL,LT	4 d	4 d	4 d	4 	4 	4 	4 	4 	4 	4 	3 	3 	3 	3 	3 	3 	3 	3 	3 	3 	3 
TOTAL,LU	1 d	1 d	1 d	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
TOTAL,LV	2 d	2 d	2 d	2 	2 	2 	2 	1 	1 	1 	1 	1 	1 	2 	2 	2 	2 	2 	2 	2 	2 
TOTAL,ME	2 d	2 d	2 d	2 	2 	2 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,MK	2 d	2 d	2 d	2 	2 	2 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,MT	1 d	1 d	1 d	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
TOTAL,NL	16 d	16 d	16 d	16 	16 	16 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 
TOTAL,NO	48 d	43 d	46 d	46 	46 	51 	52 	54 	50 	49 	50 	49 	48 	48 	47 	46 	42 	43 	45 	44 	37 
TOTAL,PL	14 d	14 d	14 d	15 	15 	15 	12 	12 	10 	10 	10 	10 	10 	10 	10 	9 	10 	9 	9 	8 	8 
