,route,time
471,"{'FCO', 'VLC'}",125.0
472,"{'FCO', 'VRN'}",60.0
473,"{'FCO', 'WAW'}",145.0
474,"{'FCO', 'ZRH'}",95.0
475,"{'FKB', 'ALC'}",142.5
476,"{'FKB', 'OPO'}",160.0
477,"{'FLR', 'CDG'}",110.0
478,"{'FLR', 'LGW'}",130.0
479,"{'FLR', 'MAD'}",145.0
480,"{'FLR', 'MUC'}",75.0
481,"{'FMM', 'CLJ'}",115.0
482,"{'FMM', 'OPO'}",170.0
483,"{'FMM', 'OTP'}",135.0
484,"{'FMM', 'TZL'}",97.5
485,"{'FNC', 'AMS'}",250.0
486,"{'FNC', 'BRS'}",217.5
487,"{'FNC', 'BSL'}",235.0
488,"{'FNC', 'BUD'}",295.0
489,"{'FNC', 'KTW'}",305.0
490,"{'FNC', 'LIS'}",103.33333333333333
491,"{'FNC', 'MAD'}",145.0
492,"{'FNC', 'OPO'}",115.0
493,"{'FNC', 'ORY'}",215.0
494,"{'FNC', 'PXO'}",25.0
495,"{'FRA', 'ACE'}",270.0
496,"{'FRA', 'AGP'}",185.0
497,"{'FRA', 'ALC'}",165.0
498,"{'FRA', 'AMS'}",75.0
499,"{'FRA', 'ARN'}",132.5
500,"{'FRA', 'BCN'}",130.0
501,"{'FRA', 'BLQ'}",90.0
502,"{'FRA', 'BRE'}",60.0
503,"{'FRA', 'BRS'}",97.5
504,"{'FRA', 'BRU'}",60.0
505,"{'FRA', 'BSL'}",55.0
506,"{'FRA', 'BUD'}",100.0
507,"{'FRA', 'CDG'}",75.0
508,"{'FRA', 'DRS'}",65.0
509,"{'FRA', 'DUS'}",50.0
510,"{'FRA', 'FLR'}",92.5
511,"{'FRA', 'FUE'}",275.0
512,"{'FRA', 'GOT'}",105.0
513,"{'FRA', 'GRZ'}",85.0
514,"{'FRA', 'GVA'}",65.0
515,"{'FRA', 'HAM'}",67.5
516,"{'FRA', 'HEL'}",160.0
517,"{'FRA', 'HHN'}",45.0
518,"{'FRA', 'IVL'}",220.0
519,"{'FRA', 'KAO'}",190.0
520,"{'FRA', 'KRK'}",97.5
521,"{'FRA', 'LEJ'}",60.0
522,"{'FRA', 'LGW'}",90.0
523,"{'FRA', 'LHR'}",105.0
524,"{'FRA', 'LIN'}",77.5
525,"{'FRA', 'MAN'}",105.0
526,"{'FRA', 'MUC'}",65.0
527,"{'FRA', 'MXP'}",80.0
528,"{'FRA', 'NUE'}",45.0
529,"{'FRA', 'OSL'}",140.0
530,"{'FRA', 'POZ'}",90.0
531,"{'FRA', 'PRG'}",70.0
532,"{'FRA', 'STR'}",50.0
533,"{'FRA', 'SZG'}",65.0
534,"{'FRA', 'TLL'}",155.0
535,"{'FRA', 'TRN'}",80.0
536,"{'FRA', 'VIE'}",86.66666666666667
537,"{'FRA', 'WAW'}",120.0
538,"{'FRA', 'WRO'}",85.0
539,"{'FRA', 'ZAG'}",95.0
540,"{'FRA', 'ZRH'}",60.0
541,"{'FRO', 'BGO'}",35.0
542,"{'NCE', 'FSC'}",55.0
543,"{'GCI', 'BHX'}",85.0
544,"{'GCI', 'JER'}",20.0
545,"{'GCI', 'LGW'}",71.66666666666667
546,"{'GCI', 'SOU'}",45.0
547,"{'AGP', 'GDN'}",245.0
548,"{'GDZ', 'LED'}",180.0
549,"{'GLA', 'ACE'}",280.0
550,"{'GLA', 'AMS'}",92.5
551,"{'GLA', 'BRS'}",75.0
552,"{'GLA', 'CDG'}",110.0
553,"{'GLA', 'FUE'}",280.0
