,route,time,departure airport,arrival airport,departure city,arrival city
214,"{'BRI', 'OTP'}",105.0,BRI,OTP,Bari,Otopeni
215,"{'BRI', 'TIA'}",60.0,BRI,TIA,Bari,Rinas
216,"{'BRI', 'TRN'}",97.5,BRI,TRN,Bari,Caselle Torinese (TO)
217,"{'BRI', 'VCE'}",80.0,BRI,VCE,Bari,Venezia (VE)
218,"{'BRI', 'VRN'}",82.5,BRI,VRN,Bari,Caselle (VR)
219,"{'BRI', 'WMI'}",130.0,BRI,WMI,Bari,Warsaw
220,"{'BRS', 'AGP'}",165.0,BRS,AGP,Bristol,Málaga
221,"{'ALC', 'BRS'}",160.0,ALC,BRS,Alicante,Bristol
222,"{'BRS', 'BCN'}",125.0,BRS,BCN,Bristol,Barcelona
223,"{'BGY', 'BRS'}",125.0,BGY,BRS,Orio al Serio (BG),Bristol
224,"{'BRS', 'FUE'}",240.0,BRS,FUE,Bristol,El Matorral
225,"{'GNB', 'BRS'}",112.5,GNB,BRS,Saint-Étienne-de-Saint-Geoirs,Bristol
226,"{'BRS', 'OPO'}",125.0,BRS,OPO,Bristol,Porto
227,"{'BRS', 'POZ'}",135.0,BRS,POZ,Bristol,Poznań
228,"{'AGP', 'BRU'}",190.0,AGP,BRU,Málaga,Zaventem
229,"{'BCN', 'BRU'}",130.0,BCN,BRU,Barcelona,Zaventem
230,"{'BSL', 'ACE'}",245.0,BSL,ACE,Saint-Louis,San Bartolomé
231,"{'BSL', 'AMS'}",85.0,BSL,AMS,Saint-Louis,Amsterdam
232,"{'BSL', 'CDG'}",75.0,BSL,CDG,Saint-Louis,Paris
233,"{'BSL', 'CTA'}",135.0,BSL,CTA,Saint-Louis,Catania
234,"{'BSL', 'FUE'}",250.0,BSL,FUE,Saint-Louis,El Matorral
235,"{'BSL', 'MUC'}",60.0,BSL,MUC,Saint-Louis,Munich
236,"{'BSL', 'OTP'}",152.5,BSL,OTP,Saint-Louis,Otopeni
237,"{'BSL', 'PRN'}",130.0,BSL,PRN,Saint-Louis,Prishtina
238,"{'BSL', 'SUF'}",130.0,BSL,SUF,Saint-Louis,Lamezia Terme (CZ)
239,"{'BTS', 'KUN'}",105.0,BTS,KUN,Bratislava,Kaunas
240,"{'BTS', 'LTN'}",150.0,BTS,LTN,Bratislava,"Luton, Bedfordshire"
241,"{'BUD', 'AGP'}",213.75,BUD,AGP,Budapest,Málaga
242,"{'BUD', 'ARN'}",145.0,BUD,ARN,Budapest,Stockholm
243,"{'BUD', 'ATH'}",120.0,BUD,ATH,Budapest,Spata-Artemida
244,"{'BUD', 'BCN'}",157.5,BUD,BCN,Budapest,Barcelona
245,"{'BUD', 'BGY'}",94.5,BUD,BGY,Budapest,Orio al Serio (BG)
246,"{'BUD', 'BHX'}",165.0,BUD,BHX,Budapest,Birmingham
247,"{'BUD', 'BLQ'}",90.0,BUD,BLQ,Budapest,Bologna
248,"{'BUD', 'BRS'}",160.0,BUD,BRS,Budapest,Bristol
249,"{'BUD', 'CIA'}",100.0,BUD,CIA,Budapest,Rome
250,"{'BUD', 'CRL'}",122.5,BUD,CRL,Budapest,Charleroi
251,"{'BUD', 'CTA'}",130.0,BUD,CTA,Budapest,Catania
252,"{'BUD', 'HEL'}",142.5,BUD,HEL,Budapest,Helsinki
253,"{'BUD', 'LHR'}",170.0,BUD,LHR,Budapest,London
254,"{'BUD', 'LTN'}",157.5,BUD,LTN,Budapest,"Luton, Bedfordshire"
255,"{'BUD', 'MAD'}",205.0,BUD,MAD,Budapest,Madrid
256,"{'BUD', 'MLA'}",140.0,BUD,MLA,Budapest,Valletta
257,"{'BUD', 'MRS'}",130.0,BUD,MRS,Budapest,Marseille
258,"{'BUD', 'MXP'}",105.0,BUD,MXP,Budapest,Ferno (VA)
259,"{'BUD', 'PRG'}",72.5,BUD,PRG,Budapest,Prague
260,"{'BUD', 'WAW'}",77.5,BUD,WAW,Budapest,Warsaw
261,"{'BVA', 'BCN'}",105.0,BVA,BCN,Tillé,Barcelona
262,"{'BGY', 'BVA'}",100.0,BGY,BVA,Orio al Serio (BG),Tillé
263,"{'BVA', 'OPO'}",132.5,BVA,OPO,Tillé,Porto
264,"{'BZG', 'LTN'}",135.0,BZG,LTN,Bydgoszcz,"Luton, Bedfordshire"
265,"{'BZO', 'BLL'}",135.0,BZO,BLL,Bolzano (BZ),Billund
266,"{'BZR', 'CRL'}",100.0,BZR,CRL,Béziers/Vias,Charleroi
267,"{'CDG', 'AGP'}",165.0,CDG,AGP,Paris,Málaga
268,"{'ARN', 'CDG'}",165.0,ARN,CDG,Stockholm,Paris
269,"{'CDG', 'BCN'}",105.0,CDG,BCN,Paris,Barcelona
270,"{'CDG', 'BHX'}",85.0,CDG,BHX,Paris,Birmingham
271,"{'CDG', 'BLQ'}",105.0,CDG,BLQ,Paris,Bologna
272,"{'CDG', 'BOD'}",85.0,CDG,BOD,Paris,Bordeaux/Mérignac
273,"{'CDG', 'BRU'}",70.0,CDG,BRU,Paris,Zaventem
274,"{'CDG', 'GOT'}",140.0,CDG,GOT,Paris,Gothenburg
275,"{'HEL', 'CDG'}",200.0,HEL,CDG,Helsinki,Paris
276,"{'MUC', 'CDG'}",100.0,MUC,CDG,Munich,Paris
277,"{'CDG', 'OTP'}",190.0,CDG,OTP,Paris,Otopeni
278,"{'TOS', 'CDG'}",240.0,TOS,CDG,Tromsø,Paris
279,"{'CDT', 'NRN'}",152.5,CDT,NRN,Castellón de la Plana,Weeze
280,"{'LED', 'CEE'}",55.0,LED,CEE,St. Petersburg,Cherepovets
281,"{'CEK', 'LED'}",180.0,CEK,LED,Chelyabinsk,St. Petersburg
282,"{'SVO', 'CEK'}",155.0,SVO,CEK,Moscow,Chelyabinsk
283,"{'CEK', 'VKO'}",152.5,CEK,VKO,Chelyabinsk,Moscow
284,"{'CFU', 'ATH'}",60.0,CFU,ATH,Kerkyra (Corfu),Spata-Artemida
285,"{'CGN', 'AGP'}",180.0,CGN,AGP,Köln (Cologne),Málaga
286,"{'CGN', 'FUE'}",268.3333333333333,CGN,FUE,Köln (Cologne),El Matorral
287,"{'CGN', 'MUC'}",65.0,CGN,MUC,Köln (Cologne),Munich
288,"{'VAR', 'CGN'}",180.0,VAR,CGN,Varna,Köln (Cologne)
289,"{'CHQ', 'ATH'}",52.5,CHQ,ATH,Souda,Spata-Artemida
290,"{'CRL', 'CIA'}",120.0,CRL,CIA,Charleroi,Rome
291,"{'OTP', 'CIA'}",125.0,OTP,CIA,Otopeni,Rome
292,"{'CLJ', 'BGY'}",121.66666666666669,CLJ,BGY,Cluj-Napoca,Orio al Serio (BG)
293,"{'CLJ', 'CIA'}",130.0,CLJ,CIA,Cluj-Napoca,Rome
294,"{'LTN', 'CLJ'}",175.0,LTN,CLJ,"Luton, Bedfordshire",Cluj-Napoca
295,"{'CLJ', 'OTP'}",55.0,CLJ,OTP,Cluj-Napoca,Otopeni
296,"{'CLY', 'NCE'}",40.0,CLY,NCE,Calvi/Sainte-Catherine,Nice
297,"{'CMF', 'BHX'}",115.0,CMF,BHX,Viviers-du-Lac,Birmingham
298,"{'CPH', 'AAL'}",48.333333333333336,CPH,AAL,Copenhagen,Aalborg
299,"{'CPH', 'AAR'}",40.0,CPH,AAR,Copenhagen,Aarhus
300,"{'CPH', 'AGP'}",220.0,CPH,AGP,Copenhagen,Málaga
301,"{'CPH', 'ALC'}",200.0,CPH,ALC,Copenhagen,Alicante
302,"{'CPH', 'AMS'}",87.5,CPH,AMS,Copenhagen,Amsterdam
303,"{'CPH', 'ARN'}",72.5,CPH,ARN,Copenhagen,Stockholm
304,"{'CPH', 'BUD'}",115.0,CPH,BUD,Copenhagen,Budapest
305,"{'CPH', 'BZO'}",130.0,CPH,BZO,Copenhagen,Bolzano (BZ)
306,"{'CPH', 'CDG'}",120.0,CPH,CDG,Copenhagen,Paris
307,"{'CPH', 'CGN'}",85.0,CPH,CGN,Copenhagen,Köln (Cologne)
308,"{'CPH', 'FAE'}",135.0,CPH,FAE,Copenhagen,Vágar
309,"{'CPH', 'FAO'}",235.0,CPH,FAO,Copenhagen,Faro
310,"{'CPH', 'FRA'}",90.0,CPH,FRA,Copenhagen,Frankfurt am Main
311,"{'CPH', 'GDN'}",65.0,CPH,GDN,Copenhagen,Gdańsk
312,"{'CPH', 'GOT'}",52.5,CPH,GOT,Copenhagen,Gothenburg
313,"{'CPH', 'GVA'}",123.75,CPH,GVA,Copenhagen,Geneva
314,"{'CPH', 'HAM'}",60.0,CPH,HAM,Copenhagen,Hamburg
315,"{'CPH', 'HEL'}",100.0,CPH,HEL,Copenhagen,Helsinki
316,"{'CPH', 'KRK'}",105.0,CPH,KRK,Copenhagen,Balice
317,"{'CPH', 'KUN'}",90.0,CPH,KUN,Copenhagen,Kaunas
318,"{'CPH', 'LHR'}",125.0,CPH,LHR,Copenhagen,London
319,"{'CPH', 'MAD'}",195.0,CPH,MAD,Copenhagen,Madrid
320,"{'CPH', 'MAN'}",120.0,CPH,MAN,Copenhagen,Manchester
321,"{'CPH', 'MUC'}",100.0,CPH,MUC,Copenhagen,Munich
322,"{'CPH', 'OPO'}",205.0,CPH,OPO,Copenhagen,Porto
323,"{'CPH', 'OSL'}",75.0,CPH,OSL,Copenhagen,Oslo
324,"{'CPH', 'RIX'}",85.0,CPH,RIX,Copenhagen,Riga
325,"{'CPH', 'STN'}",115.0,CPH,STN,Copenhagen,London
326,"{'CPH', 'SZG'}",96.66666666666669,CPH,SZG,Copenhagen,Salzburg
327,"{'CPH', 'VIE'}",102.5,CPH,VIE,Copenhagen,Vienna
