,name,iata_code,iso_region,iso_country,coordinates
508,Alexander the Great International Airport,KVA,GR-55,GR,"24.619199752807617, 40.913299560546875"
509,Filippos Airport,KZI,GR-58,GR,"21.84079933166504, 40.28609848022461"
510,Mikonos Airport,JMK,GR-82,GR,"25.348100662231445, 37.43510055541992"
511,Mytilene International Airport,MJT,GR-83,GR,"26.5983009338, 39.0567016602"
512,Aktion National Airport,PVK,GR-34,GR,"20.765300750732422, 38.925498962402344"
513,Diagoras Airport,RHO,GR-81,GR,"28.086200714111328, 36.405399322509766"
514,Araxos Airport,GPA,GR-13,GR,"21.4256, 38.1511"
515,Chania International Airport,CHQ,GR-94,GR,"24.149700164794922, 35.531700134277344"
516,Skiathos Island National Airport,JSI,GR-43,GR,"23.503700256347656, 39.177101135253906"
517,Samos Airport,SMI,GR-84,GR,"26.911699295043945, 37.689998626708984"
518,Santorini Airport,JTR,GR-82,GR,"25.479299545288086, 36.399200439453125"
519,Sitia Airport,JSH,GR-92,GR,"26.101299285888672, 35.21609878540039"
520,Thessaloniki Macedonia International Airport,SKG,GR-54,GR,"22.97089958190918, 40.51969909667969"
521,"Zakynthos International Airport ""Dionysios Solomos""",ZTH,GR-21,GR,"20.8843, 37.7509"
522,Budapest Liszt Ferenc International Airport,BUD,HU-PE,HU,"19.261093, 47.42976"
523,Debrecen International Airport,DEB,HU-HB,HU,"21.615299224853516, 47.48889923095703"
524,PÃ©cs-PogÃ¡ny Airport,PEV,HU-BA,HU,"18.240996, 45.990898"
525,HÃ©vÃ­zâBalaton Airport,SOB,HU-ZA,HU,"17.159084, 46.686391"
526,TaszÃ¡r Air Base,TZR,HU-SO,HU,"17.917499542236328, 46.39310073852539"
527,Crotone Airport,CRV,IT-78,IT,"17.0802, 38.9972"
528,Bari Karol WojtyÅa Airport,BRI,IT-75,IT,"16.760599, 41.138901"
529,"Foggia ""Gino Lisa"" Airport",FOG,IT-75,IT,"15.535, 41.432899"
530,"Taranto-Grottaglie ""Marcello Arlotta"" Airport",TAR,IT-75,IT,"17.4032, 40.517502"
531,Lecce Galatina Air Base,LCC,IT-75,IT,"18.133301, 40.239201"
532,Pescara International Airport,PSR,IT-65,IT,"14.1811, 42.431702"
533,Brindisi â Salento Airport,BDS,IT-75,IT,"17.947001, 40.6576"
534,Lamezia Terme Airport,SUF,IT-78,IT,"16.2423, 38.905399"
535,Comiso Airport,CIY,IT-82,IT,"14.607182, 36.994601"
536,Catania-Fontanarossa Airport,CTA,IT-82,IT,"15.0664, 37.466801"
537,Lampedusa Airport,LMP,IT-82,IT,"12.6181, 35.497898"
538,Pantelleria Airport,PNL,IT-82,IT,"11.9689, 36.816502"
539,FalconeâBorsellino Airport,PMO,IT-82,IT,"13.091, 38.175999"
540,Reggio Calabria Airport,REG,IT-78,IT,"15.6516, 38.071201"
541,Vincenzo Florio Airport Trapani-Birgi,TPS,IT-82,IT,"12.488, 37.9114"
542,Sigonella Navy Air Base,NSY,IT-82,IT,"14.9224, 37.401699"
543,Alghero-Fertilia Airport,AHO,IT-88,IT,"8.29077, 40.632099"
544,Decimomannu Air Base,DCI,IT-88,IT,"8.97248, 39.354198"
545,Cagliari Elmas Airport,CAG,IT-88,IT,"9.05428, 39.251499"
546,Olbia Costa Smeralda Airport,OLB,IT-88,IT,"9.51763, 40.898701"
547,TortolÃ¬ Airport,TTB,IT-88,IT,"9.68298, 39.9188"
548,Malpensa International Airport,MXP,IT-25,IT,"8.72811, 45.6306"
549,Milan Bergamo Airport,BGY,IT-25,IT,"9.70417, 45.673901"
550,Turin Airport,TRN,IT-21,IT,"7.64963, 45.200802"
551,Villanova D'Albenga International Airport,ALL,IT-42,IT,"8.12743, 44.050598"
552,Genoa Cristoforo Colombo Airport,GOA,IT-42,IT,"8.8375, 44.4133"
