route,time,departure airport,arrival airport,departure city,arrival city
"{'BRI', 'TIA'}",60.0,BRI,TIA,Bari,Tirana
"{'BRI', 'TRN'}",97.5,BRI,TRN,Bari,Turin
"{'BRI', 'VCE'}",80.0,BRI,VCE,Bari,Venice
"{'BRI', 'VRN'}",82.5,BRI,VRN,Bari,Verona
"{'BRI', 'WMI'}",130.0,BRI,WMI,Bari,Warsaw
"{'BRS', 'AGP'}",165.0,BRS,AGP,Bristol,Málaga
"{'ALC', 'BRS'}",160.0,ALC,BRS,Alicante,Bristol
"{'BRS', 'BCN'}",125.0,BRS,BCN,Bristol,Barcelona
"{'BGY', 'BRS'}",125.0,BGY,BRS,Monza,Bristol
"{'GNB', 'BRS'}",112.5,GNB,BRS,Grenoble,Bristol
"{'BRS', 'OPO'}",125.0,BRS,OPO,Bristol,Porto
"{'BRS', 'POZ'}",135.0,BRS,POZ,Bristol,Poznań
"{'AGP', 'BRU'}",190.0,AGP,BRU,Málaga,Brussels
"{'BCN', 'BRU'}",130.0,BCN,BRU,Barcelona,Brussels
"{'BSL', 'ACE'}",245.0,BSL,ACE,Freiburg im Breisgau,Arrecife
"{'BSL', 'AMS'}",85.0,BSL,AMS,Freiburg im Breisgau,Amsterdam
"{'BSL', 'CDG'}",75.0,BSL,CDG,Freiburg im Breisgau,Paris
"{'BSL', 'CTA'}",135.0,BSL,CTA,Freiburg im Breisgau,Catania
"{'BSL', 'MUC'}",60.0,BSL,MUC,Freiburg im Breisgau,Munich
"{'BSL', 'OTP'}",152.5,BSL,OTP,Freiburg im Breisgau,Bucharest
"{'BSL', 'PRN'}",130.0,BSL,PRN,Freiburg im Breisgau,Pristina
"{'BSL', 'SUF'}",130.0,BSL,SUF,Freiburg im Breisgau,Cosenza
"{'BTS', 'KUN'}",105.0,BTS,KUN,Bratislava,Kaunas
"{'BTS', 'LTN'}",150.0,BTS,LTN,Bratislava,London
"{'BUD', 'AGP'}",213.75,BUD,AGP,Budapest,Málaga
"{'BUD', 'ARN'}",145.0,BUD,ARN,Budapest,Stockholm
"{'BUD', 'ATH'}",120.0,BUD,ATH,Budapest,Athens
"{'BUD', 'BCN'}",157.5,BUD,BCN,Budapest,Barcelona
"{'BUD', 'BGY'}",94.5,BUD,BGY,Budapest,Monza
"{'BUD', 'BHX'}",165.0,BUD,BHX,Budapest,Birmingham
"{'BUD', 'BLQ'}",90.0,BUD,BLQ,Budapest,Bologna
"{'BUD', 'BRS'}",160.0,BUD,BRS,Budapest,Bristol
"{'BUD', 'CIA'}",100.0,BUD,CIA,Budapest,Rome
"{'BUD', 'CRL'}",122.5,BUD,CRL,Budapest,Brussels
"{'BUD', 'CTA'}",130.0,BUD,CTA,Budapest,Catania
"{'BUD', 'HEL'}",142.5,BUD,HEL,Budapest,Helsinki
"{'BUD', 'LHR'}",170.0,BUD,LHR,Budapest,London
"{'BUD', 'LTN'}",157.5,BUD,LTN,Budapest,London
"{'BUD', 'MAD'}",205.0,BUD,MAD,Budapest,Madrid
"{'BUD', 'MRS'}",130.0,BUD,MRS,Budapest,Marseille
"{'BUD', 'MXP'}",105.0,BUD,MXP,Budapest,Novara
"{'BUD', 'PRG'}",72.5,BUD,PRG,Budapest,Prague
"{'BUD', 'WAW'}",77.5,BUD,WAW,Budapest,Warsaw
"{'BVA', 'BCN'}",105.0,BVA,BCN,Amiens,Barcelona
"{'BGY', 'BVA'}",100.0,BGY,BVA,Monza,Amiens
"{'BVA', 'OPO'}",132.5,BVA,OPO,Amiens,Porto
"{'BZG', 'LTN'}",135.0,BZG,LTN,Bydgoszcz,London
"{'BZO', 'BLL'}",135.0,BZO,BLL,Trento,Kolding
"{'BZR', 'CRL'}",100.0,BZR,CRL,Sète,Brussels
"{'CDG', 'AGP'}",165.0,CDG,AGP,Paris,Málaga
"{'ARN', 'CDG'}",165.0,ARN,CDG,Stockholm,Paris
"{'CDG', 'BCN'}",105.0,CDG,BCN,Paris,Barcelona
"{'CDG', 'BHX'}",85.0,CDG,BHX,Paris,Birmingham
"{'CDG', 'BLQ'}",105.0,CDG,BLQ,Paris,Bologna
"{'CDG', 'BOD'}",85.0,CDG,BOD,Paris,Bordeaux
"{'CDG', 'BRU'}",70.0,CDG,BRU,Paris,Brussels
"{'CDG', 'GOT'}",140.0,CDG,GOT,Paris,Gothenburg
"{'HEL', 'CDG'}",200.0,HEL,CDG,Helsinki,Paris
"{'MUC', 'CDG'}",100.0,MUC,CDG,Munich,Paris
"{'CDG', 'OTP'}",190.0,CDG,OTP,Paris,Bucharest
"{'TOS', 'CDG'}",240.0,TOS,CDG,Tromsø,Paris
"{'CDT', 'NRN'}",152.5,CDT,NRN,Castellón de la Plana,Mönchengladbach
"{'LED', 'CEE'}",55.0,LED,CEE,Saint Petersburg,Cherepovets
"{'CEK', 'LED'}",180.0,CEK,LED,Chelyabinsk,Saint Petersburg
"{'SVO', 'CEK'}",155.0,SVO,CEK,Moscow,Chelyabinsk
"{'CEK', 'VKO'}",152.5,CEK,VKO,Chelyabinsk,Moscow
"{'CFU', 'ATH'}",60.0,CFU,ATH,Sarandë,Athens
"{'CGN', 'AGP'}",180.0,CGN,AGP,Cologne,Málaga
"{'CGN', 'MUC'}",65.0,CGN,MUC,Cologne,Munich
"{'VAR', 'CGN'}",180.0,VAR,CGN,Varna,Cologne
"{'CHQ', 'ATH'}",52.5,CHQ,ATH,Chaniá,Athens
"{'CRL', 'CIA'}",120.0,CRL,CIA,Brussels,Rome
"{'OTP', 'CIA'}",125.0,OTP,CIA,Bucharest,Rome
"{'CLJ', 'BGY'}",121.66666666666669,CLJ,BGY,Cluj-Napoca,Monza
"{'CLJ', 'CIA'}",130.0,CLJ,CIA,Cluj-Napoca,Rome
"{'LTN', 'CLJ'}",175.0,LTN,CLJ,London,Cluj-Napoca
"{'CLJ', 'OTP'}",55.0,CLJ,OTP,Cluj-Napoca,Bucharest
"{'CMF', 'BHX'}",115.0,CMF,BHX,Annecy,Birmingham
"{'CPH', 'AAL'}",48.333333333333336,CPH,AAL,Copenhagen,Aalborg
"{'CPH', 'AAR'}",40.0,CPH,AAR,Copenhagen,Aarhus
"{'CPH', 'AGP'}",220.0,CPH,AGP,Copenhagen,Málaga
"{'CPH', 'ALC'}",200.0,CPH,ALC,Copenhagen,Alicante
"{'CPH', 'AMS'}",87.5,CPH,AMS,Copenhagen,Amsterdam
"{'CPH', 'ARN'}",72.5,CPH,ARN,Copenhagen,Stockholm
"{'CPH', 'BUD'}",115.0,CPH,BUD,Copenhagen,Budapest
"{'CPH', 'BZO'}",130.0,CPH,BZO,Copenhagen,Trento
