route,time,departure airport,arrival airport,city2,city1
"{'BUD', 'WAW'}",77.5,BUD,WAW,Warsaw,Budapest
"{'BUD', 'ARN'}",145.0,BUD,ARN,Stockholm,Budapest
"{'BUD', 'BRS'}",160.0,BUD,BRS,Bristol,Budapest
"{'BUD', 'HEL'}",142.5,BUD,HEL,Helsinki,Budapest
"{'BUD', 'BLQ'}",90.0,BUD,BLQ,Bologna,Budapest
"{'BUD', 'LHR'}",170.0,BUD,LHR,London,Budapest
"{'BUD', 'CTA'}",130.0,BUD,CTA,Catania,Budapest
"{'EIN', 'ALC'}",155.0,EIN,ALC,Alicante,Eindhoven
"{'EIN', 'BUD'}",120.0,EIN,BUD,Budapest,Eindhoven
"{'EIN', 'SZG'}",85.0,EIN,SZG,Salzburg,Eindhoven
"{'EIN', 'BDS'}",145.0,EIN,BDS,Brindisi,Eindhoven
"{'MRS', 'CDG'}",95.0,MRS,CDG,Paris,Marseille
"{'MRS', 'ORY'}",82.5,MRS,ORY,Paris,Marseille
"{'MRS', 'CRL'}",105.0,MRS,CRL,Charleroi,Marseille
"{'MRS', 'MAD'}",107.5,MRS,MAD,Madrid,Marseille
"{'MRS', 'ALC'}",95.0,MRS,ALC,Alicante,Marseille
"{'MRS', 'BUD'}",120.0,MRS,BUD,Budapest,Marseille
"{'MRS', 'LYS'}",65.0,MRS,LYS,Lyon,Marseille
"{'MRS', 'NTE'}",90.0,MRS,NTE,Nantes,Marseille
"{'RTM', 'ALC'}",150.0,RTM,ALC,Alicante,Rotterdam
"{'RTM', 'SZG'}",90.0,RTM,SZG,Salzburg,Rotterdam
"{'WRO', 'BHX'}",125.0,WRO,BHX,Birmingham,Wroclaw
"{'WRO', 'VLC'}",187.5,WRO,VLC,Valencia,Wroclaw
"{'ZRH', 'BCN'}",105.0,ZRH,BCN,Barcelona,Zurich
"{'ZRH', 'CDG'}",75.0,ZRH,CDG,Paris,Zurich
"{'ZRH', 'EDI'}",135.0,ZRH,EDI,Edinburgh,Zurich
"{'ZRH', 'HAM'}",82.5,ZRH,HAM,Hamburg,Zurich
"{'ZRH', 'MAD'}",145.0,ZRH,MAD,Madrid,Zurich
"{'ZRH', 'ARN'}",145.0,ZRH,ARN,Stockholm,Zurich
"{'ZRH', 'HEL'}",170.0,ZRH,HEL,Helsinki,Zurich
"{'ZRH', 'BLQ'}",70.0,ZRH,BLQ,Bologna,Zurich
"{'ZRH', 'STR'}",45.0,ZRH,STR,Stuttgart,Zurich
"{'BLQ', 'BCN'}",100.0,BLQ,BCN,Barcelona,Bologna
"{'BLQ', 'MAD'}",155.0,BLQ,MAD,Madrid,Bologna
"{'CRL', 'BCN'}",115.0,CRL,BCN,Barcelona,Charleroi
"{'GOA', 'BCN'}",95.0,GOA,BCN,Barcelona,Genova
"{'MST', 'BCN'}",120.0,MST,BCN,Barcelona,Maastricht
"{'HEL', 'BCN'}",245.0,HEL,BCN,Barcelona,Helsinki
"{'HEL', 'CDG'}",200.0,HEL,CDG,Paris,Helsinki
"{'HEL', 'HAM'}",117.5,HEL,HAM,Hamburg,Helsinki
"{'HEL', 'MAD'}",265.0,HEL,MAD,Madrid,Helsinki
"{'HEL', 'ARN'}",77.5,HEL,ARN,Stockholm,Helsinki
"{'LPL', 'BCN'}",155.0,LPL,BCN,Barcelona,Liverpool
"{'LPL', 'ALC'}",160.0,LPL,ALC,Alicante,Liverpool
"{'LPL', 'GDN'}",145.0,LPL,GDN,Gdansk,Liverpool
"{'NAP', 'BCN'}",117.5,NAP,BCN,Barcelona,Napoli
"{'NAP', 'CRL'}",137.5,NAP,CRL,Charleroi,Napoli
"{'NAP', 'VLC'}",125.0,NAP,VLC,Valencia,Napoli
"{'NAP', 'VIE'}",105.0,NAP,VIE,Vienna,Napoli
"{'NAP', 'STN'}",175.0,NAP,STN,London,Napoli
"{'NAP', 'VCE'}",80.0,NAP,VCE,Venezia,Napoli
"{'NAP', 'CTA'}",65.0,NAP,CTA,Catania,Napoli
"{'NAP', 'PMO'}",60.0,NAP,PMO,Palermo,Napoli
"{'NCE', 'BCN'}",80.0,NCE,BCN,Barcelona,Nice
"{'NCE', 'CDG'}",96.66666666666669,NCE,CDG,Paris,Nice
"{'NCE', 'MAD'}",120.0,NCE,MAD,Madrid,Nice
"{'NCE', 'ZRH'}",72.5,NCE,ZRH,Zurich,Nice
"{'PMO', 'BCN'}",115.0,PMO,BCN,Barcelona,Palermo
"{'PMO', 'MAD'}",160.0,PMO,MAD,Madrid,Palermo
"{'PMO', 'VLC'}",127.5,PMO,VLC,Valencia,Palermo
"{'PMO', 'BLQ'}",90.0,PMO,BLQ,Bologna,Palermo
"{'PMO', 'STN'}",190.0,PMO,STN,London,Palermo
"{'PMO', 'VCE'}",95.0,PMO,VCE,Venezia,Palermo
"{'PMO', 'PSA'}",80.0,PMO,PSA,Pisa,Palermo
"{'PMO', 'NAP'}",60.0,PMO,NAP,Napoli,Palermo
"{'VGO', 'BCN'}",105.0,VGO,BCN,Barcelona,Vigo
"{'VGO', 'MAD'}",75.0,VGO,MAD,Madrid,Vigo
"{'XRY', 'BCN'}",105.0,XRY,BCN,Barcelona,Jerez de la Frontera
"{'XRY', 'MAD'}",77.5,XRY,MAD,Madrid,Jerez de la Frontera
"{'BDS', 'BLQ'}",85.0,BDS,BLQ,Bologna,Brindisi
"{'BRI', 'CRL'}",145.0,BRI,CRL,Charleroi,Bari
"{'BRI', 'WMI'}",130.0,BRI,WMI,Warsaw,Bari
"{'BRI', 'BUD'}",91.66666666666669,BRI,BUD,Budapest,Bari
"{'BRI', 'VCE'}",80.0,BRI,VCE,Venezia,Bari
"{'CTA', 'CRL'}",160.0,CTA,CRL,Charleroi,Catania
"{'CTA', 'FLR'}",95.0,CTA,FLR,Firenze,Catania
"{'CTA', 'BLQ'}",105.0,CTA,BLQ,Bologna,Catania
"{'GRO', 'BHX'}",135.0,GRO,BHX,Birmingham,Girona
"{'TLS', 'MAD'}",85.0,TLS,MAD,Madrid,Toulouse
"{'VLC', 'MAD'}",62.5,VLC,MAD,Madrid,Valencia
"{'VLC', 'BLQ'}",120.0,VLC,BLQ,Bologna,Valencia
"{'LYS', 'CDG'}",72.5,LYS,CDG,Paris,Lyon
"{'LYS', 'EDI'}",140.0,LYS,EDI,Edinburgh,Lyon
"{'LYS', 'MAD'}",115.0,LYS,MAD,Madrid,Lyon
"{'LYS', 'ARN'}",185.0,LYS,ARN,Stockholm,Lyon
"{'BZR', 'CRL'}",100.0,BZR,CRL,Charleroi,Beziers
"{'PSA', 'CRL'}",105.0,PSA,CRL,Charleroi,Pisa
"{'PSA', 'MAD'}",145.0,PSA,MAD,Madrid,Pisa
"{'PSA', 'VLC'}",110.0,PSA,VLC,Valencia,Pisa
"{'TSF', 'CRL'}",97.5,TSF,CRL,Charleroi,Treviso
"{'TSF', 'MRS'}",82.5,TSF,MRS,Marseille,Treviso
"{'TSF', 'VLC'}",130.0,TSF,VLC,Valencia,Treviso
"{'TSF', 'VIE'}",75.0,TSF,VIE,Vienna,Treviso
"{'VAR', 'HAM'}",160.0,VAR,HAM,Hamburg,Varna
"{'BTS', 'LTN'}",150.0,BTS,LTN,Luton,Bratislava
"{'BZG', 'LTN'}",135.0,BZG,LTN,Luton,Bydgoszcz
"{'LUZ', 'LTN'}",160.0,LUZ,LTN,Luton,Lublin
"{'PNA', 'MAD'}",65.0,PNA,MAD,Madrid,Pamplona
"{'SCQ', 'MAD'}",72.5,SCQ,MAD,Madrid,Santiago de Compostela
"{'SCQ', 'VLC'}",92.5,SCQ,VLC,Valencia,Santiago de Compostela
"{'SDR', 'MAD'}",70.0,SDR,MAD,Madrid,Santander
"{'CWL', 'ALC'}",140.0,CWL,ALC,Alicante,Cardiff
"{'MMX', 'ARN'}",70.0,MMX,ARN,Stockholm,Malmo
"{'MMX', 'BMA'}",80.0,MMX,BMA,Stockholm,Malmo
"{'STR', 'SKG'}",135.0,STR,SKG,Thessaloniki,Stuttgart
"{'TUF', 'STN'}",85.0,TUF,STN,London,Tours
"{'SKG', 'STR'}",150.0,SKG,STR,Stuttgart,Thessaloniki
