,route,time,departure airport,arrival airport,departure city,arrival city,transit_distance [m],transit_time [s]
359,"{'DME', 'AER'}",217.5,DME,AER,Moscow,Sochi,3323590,81480
362,"{'DME', 'GRV'}",185.0,DME,GRV,Moscow,Groznyy,3147441,126600
366,"{'DME', 'IJK'}",100.0,DME,IJK,Moscow,Izhevsk,2136787,61260
367,"{'DME', 'KZN'}",105.0,DME,KZN,Moscow,Kazan,1669053,42000
368,"{'DME', 'LED'}",96.25,DME,LED,Moscow,Saint Petersburg,1334414,14640
371,"{'DME', 'MMK'}",165.0,DME,MMK,Moscow,Murmansk,3482022,114060
377,"{'DME', 'PEZ'}",80.0,DME,PEZ,Moscow,Penza,961728,46860
378,"{'DME', 'VOG'}",110.0,DME,VOG,Moscow,Volgograd,1545280,76680
379,"{'DTM', 'BEG'}",125.0,DTM,BEG,Dortmund,Belgrade,1649303,100020
380,"{'DTM', 'BUD'}",105.0,DTM,BUD,Dortmund,Budapest,1287796,44580
381,"{'DTM', 'CLJ'}",130.0,DTM,CLJ,Dortmund,Cluj-Napoca,1881768,86700
382,"{'DTM', 'FCO'}",125.0,DTM,FCO,Dortmund,Rome,1491313,49560
383,"{'DTM', 'GDN'}",95.0,DTM,GDN,Dortmund,Gdańsk,1074112,39570
384,"{'DTM', 'KTW'}",95.0,DTM,KTW,Dortmund,Katowice,1071385,39480
385,"{'DTM', 'SZY'}",107.5,DTM,SZY,Dortmund,Szczytno,1354769,61849
387,"{'DTM', 'VNO'}",125.0,DTM,VNO,Dortmund,Vilnius,1531434,72240
389,"{'DUS', 'AMS'}",55.0,DUS,AMS,Cologne,Amsterdam,259304,12660
390,"{'DUS', 'CDG'}",75.0,DUS,CDG,Cologne,Paris,536118,18060
391,"{'DUS', 'CPH'}",75.0,DUS,CPH,Cologne,Copenhagen,937497,33780
392,"{'DUS', 'FRA'}",50.0,DUS,FRA,Cologne,Frankfurt,180339,3780
393,"{'DUS', 'HEL'}",140.0,DUS,HEL,Cologne,Helsinki,2020404,108900
394,"{'DUS', 'KIV'}",160.0,DUS,KIV,Cologne,Chisinau,2502403,134906
395,"{'DUS', 'LHR'}",85.0,DUS,LHR,Cologne,London,600899,20340
396,"{'DUS', 'LIS'}",185.0,DUS,LIS,Cologne,Lisbon,3135391,139680
397,"{'DUS', 'MAD'}",160.0,DUS,MAD,Cologne,Madrid,1907352,87060
398,"{'DUS', 'MUC'}",70.0,DUS,MUC,Cologne,Munich,640538,15900
400,"{'DUS', 'PRN'}",162.5,DUS,PRN,Cologne,Pristina,1870845,115229
401,"{'DUS', 'TIA'}",145.0,DUS,TIA,Cologne,Tirana,2160415,127899
402,"{'DUS', 'TOS'}",210.0,DUS,TOS,Cologne,Tromsø,3330933,168891
403,"{'DUS', 'VIE'}",95.0,DUS,VIE,Cologne,Vienna,944479,27900
404,"{'DUS', 'ZRH'}",70.0,DUS,ZRH,Cologne,Zürich,587557,21060
406,"{'EAS', 'MAD'}",65.0,EAS,MAD,Donostia,Madrid,549104,17640
407,"{'EDI', 'AGP'}",200.0,EDI,AGP,Dunfermline,Málaga,3417126,111900
409,"{'EDI', 'BHX'}",65.0,EDI,BHX,Dunfermline,Birmingham,500695,18240
410,"{'EDI', 'BRS'}",75.0,EDI,BRS,Dunfermline,Bristol,645236,23400
411,"{'EDI', 'CRL'}",105.0,EDI,CRL,Dunfermline,Brussels,1037762,31860
413,"{'EDI', 'GVA'}",137.5,EDI,GVA,Dunfermline,Geneva,1757620,48780
414,"{'EDI', 'LGW'}",85.0,EDI,LGW,Dunfermline,London,664689,21360
415,"{'EDI', 'MAD'}",175.0,EDI,MAD,Dunfermline,Madrid,2832643,87480
416,"{'EIN', 'AGP'}",177.5,EIN,AGP,Eindhoven,Málaga,2475199,95280
417,"{'EIN', 'ALC'}",155.0,EIN,ALC,Eindhoven,Alicante,2390321,85980
418,"{'EIN', 'ATH'}",175.0,EIN,ATH,Eindhoven,Athens,3694992,216240
419,"{'EIN', 'BGY'}",97.5,EIN,BGY,Eindhoven,Monza,970633,42420
420,"{'EIN', 'BUD'}",120.0,EIN,BUD,Eindhoven,Budapest,1343316,49380
421,"{'EIN', 'CLJ'}",140.0,EIN,CLJ,Eindhoven,Cluj-Napoca,1891142,113340
422,"{'EIN', 'DEB'}",130.0,EIN,DEB,Eindhoven,Debrecen,1575420,70440
