,dep,arr,time
814,RIX,TLL,50
815,RIX,VNO,50
816,RIX,BRS,190
817,RIX,VIE,130
818,RIX,VNO,44
819,RIX,PLQ,39
820,KUN,BTS,105
821,KUN,BGY,145
822,VNO,EIN,145
823,VNO,MUC,125
824,VNO,TRN,165
825,VNO,STN,175
826,VNO,HEL,105
827,VNO,WAW,70
828,VNO,MXP,165
829,VNO,RIX,50
830,VNO,LTN,175
831,FUE,MAN,260
832,FUE,LEJ,295
833,FUE,GLA,280
834,FUE,BIO,175
835,FUE,BHX,260
836,FUE,BRS,240
837,FUE,STN,260
838,FUE,CGN,270
839,FUE,EMA,260
840,FUE,EDI,285
841,FUE,MAD,160
842,FUE,DUS,265
843,FUE,SVQ,125
844,FUE,NCL,275
845,FUE,WAW,330
846,FUE,HAM,295
847,FUE,AMS,275
848,FUE,MUC,265
849,FUE,FRA,275
850,FUE,VIE,285
851,FUE,LUX,245
852,FUE,BSL,250
853,FUE,MXP,245
854,FUE,NTE,200
855,FUE,STN,250
856,FUE,HAJ,280
857,FUE,MAN,275
858,FUE,CGN,265
859,FUE,EMA,255
860,SPC,MAD,170
861,SPC,DUS,275
862,SPC,DUS,280
863,SPC,BCN,205
864,ACE,BHX,255
865,ACE,SVQ,120
866,ACE,FRA,270
867,ACE,BCN,185
868,ACE,BOD,195
869,ACE,HAM,285
870,ACE,DUS,265
871,ACE,BIO,170
872,ACE,GLA,280
873,ACE,LBA,270
874,ACE,MAN,270
875,ACE,CDG,240
876,ACE,EMA,250
877,ACE,CRL,250
878,ACE,ORY,235
879,ACE,OSL,325
880,ACE,LGW,245
881,ACE,BSL,245
882,ACE,MAD,155
883,ACE,OVD,160
884,ACE,NTE,195
885,ACE,BRU,250
886,ACE,LGW,240
887,ACE,LYS,215
888,ACE,STN,255
889,ACE,SCQ,150
890,ACE,EDI,280
891,ACE,LPL,250
892,ACE,EMA,255
893,ACE,LGW,250
894,ACE,BGY,240
895,ACE,LTN,250
896,ACE,BFS,265
897,ACE,AGP,125
898,MLN,AGP,55
899,MLN,LEI,55
900,TIA,FCO,85
901,TIA,BVA,170
902,TIA,TRS,105
903,TIA,LTN,210
904,TIA,PSA,105
905,TIA,TSF,105
906,TIA,HAM,165
907,TIA,GOA,110
908,TIA,CRL,175
909,TIA,BCN,170
910,TIA,BLQ,105
911,TIA,ATH,80
912,TIA,MXP,125
913,TIA,BLQ,100
914,TIA,FCO,95
915,TIA,HHN,155
916,TIA,VRN,110
917,TIA,ARN,200
918,TIA,CIA,90
919,TIA,STN,185
920,TIA,BRI,60
921,TIA,EDI,225
922,TIA,BGY,120
923,BOJ,AMS,200
924,SOF,CTA,110
925,SOF,LTN,215
926,SOF,STN,200
927,SOF,ALC,215
928,SOF,WAW,120
929,SOF,VIE,95
930,SOF,MUC,120
931,SOF,CRL,180
932,SOF,ATH,80
933,SOF,FMM,125
934,SOF,TSF,110
935,SOF,MLA,115
936,SOF,CPH,185
937,SOF,NAP,100
938,SOF,LGW,205
939,SOF,LTN,210
940,SOF,MAD,220
941,SOF,BRS,210
942,VAR,CGN,180
943,VAR,SOF,50
944,DBV,ZAG,55
945,PUY,ZRH,85
946,SPU,FCO,65
947,SPU,AMS,145
948,SPU,ZAG,50
949,ZAG,AMS,130
950,ZAG,ZRH,90
951,ZAG,VIE,50
952,ZAG,FRA,95
953,ZAG,LHR,155
954,ZAG,MUC,70
955,ZAG,CRL,120
956,ZAG,DBV,55
957,ZAG,SPU,50
958,ZAG,SJJ,50
959,ZAG,SKP,85
960,ALC,LGW,155
961,ALC,CPH,195
962,ALC,MAN,170
963,ALC,EIN,160
964,ALC,AMS,175
965,ALC,ARN,245
966,ALC,FRA,165
967,ALC,EMA,165
968,ALC,MXP,125
969,ALC,MUC,155
970,ALC,WMI,205
971,ALC,AMS,170
972,ALC,BGY,130
973,ALC,CPH,205
974,ALC,MRS,95
975,ALC,TRD,260
976,ALC,NCL,180
977,ALC,GDN,210
978,ALC,RTM,155
979,ALC,LIS,105
980,ALC,OSL,235
981,ALC,KTW,190
982,ALC,LBA,170
983,ALC,LGW,160
984,ALC,FKB,145
985,ALC,BCN,70
986,ALC,MAN,175
987,ALC,OTP,210
988,ALC,BRU,150
989,ALC,MAD,65
990,ALC,SVG,220
991,ALC,BHX,165
992,ALC,MAD,75
993,ALC,SOF,190
994,ALC,BFS,180
995,ALC,BRS,160
996,ALC,LPL,170
997,ALC,STN,165
998,LEI,MAD,75
999,OVD,BCN,85
1000,OVD,MAD,75
1001,OVD,NRN,130
1002,BIO,MAD,65
1003,BIO,AMS,135
1004,BIO,MAD,70
1005,BIO,CDG,105
1006,BIO,LGW,110
1007,BIO,MUC,135
1008,BIO,OPO,80
1009,BIO,BCN,70
1010,BCN,GOA,95
1011,BCN,BRU,130
1012,BCN,SVQ,100
1013,BCN,XRY,105
1014,BCN,NAP,115
1015,BCN,STN,145
1016,BCN,MAD,85
1017,BCN,GRX,90
1018,BCN,BIO,75
1019,BCN,FCO,105
1020,BCN,AGP,95
1021,BCN,CRL,135
1022,BCN,FRA,130
1023,BCN,LPL,155
1024,BCN,BGY,105
1025,BCN,SOF,175
1026,BCN,ATH,175
1027,BCN,MAH,55
1028,BCN,AGP,100
1029,BCN,LIS,125
1030,BCN,AMS,150
1031,BCN,WMI,185
1032,BCN,LHR,145
1033,BCN,LGW,135
1034,BCN,BOD,80
1035,BCN,SPC,220
1036,CDT,NRN,160
1037,LCG,MAD,70
1038,LCG,MAD,80
1039,GRO,BHX,140
1040,GRX,MLN,60
1041,GRX,MAD,70
1042,GRX,BCN,85
1043,IBZ,VLC,50
1044,IBZ,BCN,55
1045,IBZ,MAD,75
1046,XRY,MAD,80
1047,XRY,BCN,105
1048,MAD,OPO,80
1049,MAD,VGO,75
1050,MAD,FLR,145
1051,MAD,AGP,80
1052,MAD,LIS,85
1053,MAD,OVD,75
1054,MAD,MRS,105
1055,MAD,SVQ,70
1056,MAD,XRY,75
1057,MAD,FCO,150
1058,MAD,LEI,75
1059,MAD,IBZ,75
1060,MAD,NTE,100
